,title,author,degree,degre_year,advisors,committee_members,subjects
39,Toward Early Modern Comics,"Thomas, Evan",Doctor of Philosophy,2017,,Frederick Aldama Dr. ; Jared Gardner Dr. ; Jenny Robb ,Art History; British and Irish Literature; Comparative Literature; Literature
40,Uniforms and Universities: A Qualitative Study of Post 9/11 Marine Student Veterans' Literacy Practices,"St Pierre, Catherine",Doctor of Philosophy,2017,,Jonathan Buehl ; Daniel Keller ; Cynthia L. Selfe ,Composition; Literacy; Military Studies; Rhetoric
41,"Books Are Weapons: Didacticism in American Literature, 1890-1945","Smart, Andrew",Doctor of Philosophy,2017,Jared Gardner,Jared Gardner ; Elizabeth Hewitt ; Thomas Davis ; Jesse Schotter ,American Literature; American Studies; Literature
42,"A Grammar of Consubstantiality: A Burkean Feminist Rhetorical Analysis of Third-Person Identity Constitution in Science-Fiction Television
","Chambers, Leslie",Doctor of Philosophy,2018,Nan Johnson,Nan Johnson ; James Fredal ; Sean O'Sullivan ,Rhetoric
43,Romanticism and the Poetics of Orientation,"Kim, Joanne",Doctor of Philosophy,2018,Clare Simmons,Clare Simmons ; Riede David ; Risinger Jacob ,Aesthetics; Art Criticism; Comparative Literature; Literature; Philosophy; Romance Literature
44,Style Made Visible: Reanimating Composition Studies Through Comics,"Cohen, Michelle",Doctor of Philosophy,2018,,Jonathan Buehl ; Jared Gardner ; James Phelan ; Susan Delagrange ,Composition; Pedagogy; Rhetoric
45,Struck: The Victorian Female Novelist and Male Pain,"Morrissey, Colleen",Doctor of Philosophy,2018,Robyn Warhol,Robyn Warhol ; Jill Galvan ; Amanpal Garcha ; Sandra Macpherson ,Gender; Gender Studies; Literature
46,Black or Right: Anti/Racist Rhetorical Ecologies at an Historically White Institution,"Maraj, Louis",Doctor of Philosophy,2018,,Wendy Hesford ; Beverly Moss ; Margaret Price ,Black Studies; Composition; Literacy; Rhetoric
47,Refracting Webtexts: Invention and Design in Composing Multimodal Scholarship,"Bahl, Erin",Doctor of Philosophy,2018,Jonathan Buehl;Christa Teston,Jonathan Buehl ; Christa Teston ; Susan Delagrange ; Dorothy Noyes ,Composition; Design; Rhetoric
48,"Constructing Modern Missionary Feminism: American Protestant Women's Foreign Missionary Societies and the Rhetorical Positioning of Christian Women, 1901-1938","Wolfe, Marion",Doctor of Philosophy,2018,Nan Johnson,Nan Johnson ; James Fredal ; H. Lewis Ulman ,Composition; Religious History; Rhetoric; Womens Studies
49,Coexistent Ethos: The Rhetorical Practices and Situated Business Writing of American Catholic Laywomen,"Burgess, Jennifer",Doctor of Philosophy,2018,Nancy Johnson,Nancy Johnson ; Jonathan Buehl ; James Fredal ,Composition; Rhetoric
50,Configuring the Pregnant Body in Early Modern Drama,"Steinway, Elizabeth",Doctor of Philosophy,2018,Jennifer Higginbotham,Jennifer Higginbotham ; Elizabeth Kolkovich ; Christopher Highley ; Kaara Peterson ,Gender Studies; Literature
51,"The Bodies Belong to No One: Missing and Murdered Indigenous Men in Literature and Law, 1934-2010","Anderson, Joshua",Doctor of Philosophy,2018,,Chadwick Allen Ph.D. ; Joe Ponce Ph.D. ; Brian McHale Ph.D. ; Debra Moddelmog Ph.D. ,American Literature; American Studies; Film Studies; Gender Studies; Legal Studies; Native American Studies
52,Reading as Forgetting: Sympathetic Transport and the Victorian Literary Marketplace,"Connolly, Matthew",Doctor of Philosophy,2018,Jill Galvan PhD,Jill Galvan PhD ; Robyn Warhol PhD ; Thomas Davis PhD ,British and Irish Literature; History; Literature
53,“The Reliability of Cross-Cultural Communication in Contemporary Anglophone Arab Writing”,"ALHAJJI, ALI",Doctor of Philosophy,2018,Adeleke Adeeko,Adeleke Adeeko ; Pranav  Jani  ; Frederick  Aldama ,American History; American Literature; American Studies; Asian American Studies; Australian Literature; Bilingual Education; British and Irish Literature; Canadian Literature; Communication; Comparative Literature; Ethnic Studies; Foreign Language; Language; Literature; Middle Eastern History; Middle Eastern Literature; Middle Eastern Studies; Minority and Ethnic Groups; Near Eastern Studies; Personality Psychology; Rhetoric
54,"Crying Shame: Childhood, Development, and Imperialism in the Late Victorian Novel","Harwick, Michael",Doctor of Philosophy,2018,Amanpal Garcha,Amanpal Garcha ; Robyn Warhol ; Jill Galvan ,British and Irish Literature; Literature
55,Managing Multiculturalism(s): Post-1990s Multiethnic Novels and Representations of the American Dream,"Amin, Krupal",Doctor of Philosophy,2018,Lynn Itagaki,Lynn Itagaki ,Literature
56,SM in Postmodern America,"Franco, Marie",Doctor of Philosophy,2018,,Debra Moddelmog ; Brian McHale ; Marin Joseph Ponce ,American History; American Literature; American Studies; Gender Studies; Literature
57,Renaissance Borderlands: Geographies of Race in Early Modern Drama,"Meza, Carmen",Doctor of Philosophy,2018,Jennifer Higginbotham,Jennifer Higginbotham ; Elizabeth Kolkovich ; Hannibal Hamlin ; Luke Wilson ,Literature
58,"The Fae, the Fairy Tale, and the Gothic Aesthetic in Nineteenth-Century British Literature","Warman, Brittany",Doctor of Philosophy,2018,Clare Simmons;Ray Cashman,Clare Simmons ; Ray Cashman ; Merrill Kaplan ; Jill Galvan ,British and Irish Literature; Folklore; Gender; Gender Studies; Literature; Womens Studies
59,Bodies of Stories: Disability and Folklore in Nineteenth-Century British Literature,"Cleto, Sara",Doctor of Philosophy,2018,Clare Simmons;Ray Cashman,Clare Simmons ; Ray Cashman ; Amy Shuman ; Jill Galvan ,Folklore; Literature
60,The Narrative Space of Childhood in 21st Century Anglophone Arab Literature in the Diaspora,"Ben-Nasr, Leila",Doctor of Philosophy,2019,Martin Ponce,Martin Ponce ; Lynn Itagaki ; Dorothy Noyes ,American Literature; British and Irish Literature; Gender Studies; Literature
61,The Address of the Soul: Phenomenology and the Religious Experience of Film,"Laamanen, Carl",Doctor of Philosophy,2019,,Ryan Friedman Dr. ; Jared Gardner Dr. ; Issac Weiner Dr. ,Film Studies; Religion
62,Radiant Beings: Narratives of Contamination and Mutation in Literatures of the Anthropocene,"Ferebee, Kristin",Doctor of Philosophy,2019,Thomas Davis,Thomas Davis ; Jared Gardner ; Brian McHale ; Rebekah Sheldon ,Gender Studies; Literature
63,"Remaking with a Twist: Television Reimaginings, Representation, and Identity in the 21st Century","Yanders, Jacinta",Doctor of Philosophy,2019,,Sean O'Sullivan ; Robyn Warhol ; Jared Gardner ,Mass Media
64,"Poems in the U.S. Popular Press, 1855-1866","Bonifacio Peralta, Ayendy",Doctor of Philosophy,2019,Elizabeth Renker,Elizabeth Renker ; Elizabeth Hewitt ; Jared  Gardner ,American Literature; American Studies; Hispanic American Studies; Latin American Literature; Latin American Studies; Literature
65,"Intellectual/Developmental Disability, Rhetoric, and Self-Advocacy: A Case Study","Kamperman, Sean",Doctor of Philosophy,2019,,Christa Teston Ph.D. ; Margaret Price Ph.D. ; Amy Shuman Ph.D. ,Composition; Rhetoric
66,Queer Genealogy and the Medieval Future: Holy Women and Religious Practice,"McLoughlin, Caitlyn",Doctor of Philosophy,2019,Karen Winstead,Karen Winstead ; Jennifer Higginbotham ; Ethan Knapp ,Middle Ages
67,Histories beyond Hurt: Queer Historical Literature and Media since the AIDS Epidemic,"Harvat, Zachary",Doctor of Philosophy,2019,Martin Ponce PhD,Martin Ponce PhD ; Jian Chen PhD ; Brian McHale PhD ,American Literature; American Studies; Glbt Studies; Literature
68,"Labor, Work, Action: Rethinking Student Learning Conditions in Composition Classrooms","Blancato, Michael",Doctor of Philosophy,2019,,Scott DeWitt ; Beverly Moss ; Cynthia Selfe ; Christa Teston ,Composition; Education; Labor Relations; Teaching
69,"""Instructive Recreations"": Playbooks and Political Stability in the English Republic, 1649-1660","Kuhn, Justin",Doctor of Philosophy,2019,,Alan Farmer ; Richard Dutton ; Jennifer Higginbotham ; Christopher Highley ,Literature
70,Pedagogies of Noise: Black Women's Teaching Efficacy and Pedagogical Approaches in Composition Classrooms,"Roundtree, Sherita ",Doctor of Philosophy,2019,,Beverly  Moss ; Kay Halasek ; Christa Teston ; Valerie Kinloch ,Black Studies; Composition; Pedagogy; Womens Studies
71,Teaching Within and Against: Rhetoric and Composition After Ferguson,"Prasad`, Pritha",Doctor of Philosophy,2019,,Wendy Hesford ; Beverly Moss ; Treva Lindsey ,African American Studies; American Studies; Composition; Education; Ethnic Studies; Gender Studies; Minority and Ethnic Groups; Pedagogy; Womens Studies
72,Refracted Realism and the Ethical Dominant in Contemporary American Fiction,"Potkalitsky, Nicolas",Doctor of Philosophy,2019,James Phelan PhD,James Phelan PhD ; Brian McHale PhD ; Frederick Aldama PhD ,Ethics; Literature; Rhetoric
73,"The Invention of Access: Speech-to-Text Writing and the Emergent Methodologies of Disability Service Transcription
","Iwertz, Chad",Doctor of Philosophy,2019,Margaret Price,Margaret Price ; Christa Teston ; Beverly Moss ; Sean Zdenek ,Composition; Multicultural Education; Rhetoric; Technical Communication; Technology
74,"The Voices of David Foster Wallace: Comic, Encyclopedic, Sincere","Hoffman, Yonina",Doctor of Philosophy,2019,Brian McHale,Brian McHale ; James Phelan ; Sandra Macpherson ,American Literature; Language; Literature
75,Winging It: Human Flight in the Long Eighteenth Century,"Jones, Jared",Doctor of Philosophy,2019,Roxann Wheeler,Roxann Wheeler ; David Brewer ; Sandra Macpherson ; Jacob Risinger ,Aeronomy; Aerospace Engineering; American Literature; Astronomy; British and Irish Literature; Comparative Literature; Engineering; European History; European Studies; Experiments; Folklore; Foreign Language; Germanic Literature; History; Language; Literature; Mechanical Engineering; Museums; Philosophy of Science; Physics; Science History; Technology; Theater; Theater History; World History
76,The Tongue of Angels: Pauline Style and Renaissance English Literature,"Knapper, Daniel",Doctor of Philosophy,2019,Hannibal Hamlin,Hannibal Hamlin ; Richard Dutton ; Alan Farmer ,Literature; Religion; Religious History; Rhetoric
77,"Fishing in Uncertain Waters: Resilience and Cultural Change in a North Atlantic Community 
","Johnson, Christofer",Doctor of Philosophy,2019,,Dorothy Noyes ; Katherine Borland ; Galey Modan ,Folklore
78,"Argentine Tango in Cincinnati: An Ethnographic Study of Ethos, Affect, Gender, and Ageing in a Midwestern Dance Community
","Hopkin, Rachel",Doctor of Philosophy,2019,Amy Shuman,Amy Shuman ,Aging; Dance; Folklore; Gender
79,"Women's Medicine in England, c. 850-1100 CE: Evidence of Medical Manuscripts with a Focus on the Herbarium Tradition
","Christiansen, Bethany",Doctor of Philosophy,2020,,Leslie Lockett ; Christopher A. Jones ; Brian D. Joseph ; Eric J. Johnson ,Ancient Languages; European Studies; Literacy; Medicine; Medieval History; Womens Studies
80,Pathology and Pity: The Interdependence of Medical and Moral Models of Disability in Nineteenth-Century American Literature,"Sydlik, Andrew",Doctor of Philosophy,2020,Amy Shuman,Amy Shuman ; Molly Farrell ; Elizabeth Renker ,American History; American Literature; American Studies; Epistemology; Ethics; History; Literature; Medical Ethics; Science History
81,"Disciplinary Writing Expectations and Pedagogical Practices of History and Social Work Instructors
","Kauza, Jacqueline",Doctor of Philosophy,2020,Beverly Moss,Beverly Moss ; Christa Teston ; Jonathan Buehl ,Composition
82,“Every Family Might Also Be Called a State”: Incest and Politics in the Romantic Era,"Fernandez, Emmeline",Doctor of Philosophy,2020,Clare Simmons;Jacob Risinger,Clare Simmons ; Jacob Risinger ; David Brewer ,Literature
83,Beyond Sex: Arotic Desire in the Victorian Realist Novel,"Corey, Emily",Doctor of Philosophy,2020,Robyn Warhol,Robyn Warhol ; Jill Galvan ; Amanpal Garcha ,Literature
84,Occupational Folklore in Early Medieval England,"Vaillancourt, Gregory",Doctor of Philosophy,2020,Christopher Jones,Christopher Jones ; Leslie Lockett ; Merrill Kaplan ,Folklore; Medieval History
85,Queer Possibilities in Digital Media Composing,"Johnson, Gavin",Doctor of Philosophy,2020,,Scott DeWitt DA ; Beverly Moss PhD ; Christa Teston PhD ; Eric Pritchard PhD ,Composition; Curriculum Development; Education Philosophy; Educational Theory; Higher Education; Literacy; Pedagogy; Rhetoric; Teaching; Technology
86,Hospitable Literacies: The Writing and Rhetorical Practices of Black Family Reunions Online and Offline,"Allen, Laura",Doctor of Philosophy,2020,,Beverly Moss ; Christa Teston ; Scott DeWitt ,Composition; Literacy; Rhetoric
87,There Will Be No Pictures of Pigs Shooting Down Brothers in the Instant Replay: Surveillance and Death in the Black Arts Movement,"Jackson, Indya",Doctor of Philosophy,2020,,"Adélékè Adéẹkọ́, ; Judson Jeffries ; Pranav Jani ",African American Studies; African Americans; Black Studies; Literature; Music; Philosophy; Theater
88,"(Re)Writing Apocalypse: Race, Gender, and Radical Change in Black Apocalyptic Fiction
","Calbert, Tonisha",Doctor of Philosophy,2020,Martin Ponce,Martin Ponce ; Lynn Itagaki ; Brian McHale ,African American Studies; African Americans; African Literature; American Literature; Black History; Black Studies; Ethnic Studies; Gender; Literature; Minority and Ethnic Groups; Modern Literature
89,The Girls' Room: Bedroom Culture and the Ephemeral Archive in the 1990s,"Miller, Rachel",Doctor of Philosophy,2020,,Robyn Warhol ; Jared Gardner ; Brian McHale ; Laurenn McCubbin ,American Literature; Film Studies; Gender Studies; Literature; Mass Media; Womens Studies
90,"The Earthen Mirror: Spenser, Soil, and the Natures of Interpretation","Moran, Benjamin",Doctor of Philosophy,2020,,Alan Farmer ; Sarah Neville ; Hannibal Hamlin ; Luke Wilson ,Literature
91,"Re(Making) the Folk: The Folk in Early African American Folklore Studies and Postbellum, Pre-Harlem Literature 
 
","Bailey , Ebony",Doctor of Philosophy,2020,Adeleke Adeeko,Adeleke Adeeko ; Koritha Mitchell ; James Phelan ; Amy Shuman ,African American Studies; African Americans; American Literature; Black History; Black Studies; Comparative Literature; Folklore; History; Literature
92,Macro-Rhetoric: Framing Labor Distribution in Client- and Partner-Based Composition,"Head, Samuel",Doctor of Philosophy,2020,,Christa Teston ; Jonathan Buehl ; Beverly Moss ,Composition; Rhetoric; Technical Communication
93,Today Your Barista Is: Genre Characteristics in The Coffee Shop Alternate Universe,"McCain, Katharine",Doctor of Philosophy,2020,,Sean O'Sullivan ; Matthew Birkhold ; Jared Gardner ; Elizabeth Hewitt ,Gender; Gender Studies; Literature; Mass Media; Romance Literature
94,"Fire on Mountain Drive: Community Dynamics and Personal Narrative in a Wildfire-Prone Landscape
","Jacobs, Tessa",Doctor of Philosophy,2020,Dorothy Noyes,Dorothy Noyes ; Amy Shuman ; Katherine Borland ; Thomas Davis ,Folklore
95,Performing Brawn and Sass: Strength and Disability in Black Women's Writing,"Jones, Sidney",Doctor of Philosophy,2020,Robyn Warhol;Koritha Mitchell;Treva Lindsey,Andrea Williams ; Robyn Warhol ; Koritha Mitchell ; Treva Lindsey ,African Americans; Gender Studies; Literature
96,Unbecoming Girls: Televising Millennial Femininity,"Sterne, Alexandra",Doctor of Philosophy,2020,,Sean O'Sullivan ; Linda Mizejewski ; Robyn Warhol ,Film Studies; Gender Studies
97,"By the Book: American Novels about the Police, 1880-1905","Leavitt, Joshua",Doctor of Philosophy,2020,Elizabeth Hewitt,Elizabeth Hewitt ; Molly Farrell ; Andrea N. Williams ,American Literature; American Studies; Literature
98,Enfleshing Faith: Secularization and Liturgy in Romantic and Victorian Literature,"McQueen, Joseph",Doctor of Philosophy,2020,Clare Simmons,Clare Simmons ; David Riede ; Amanpal Garcha ; Norman Jones ,British and Irish Literature; Literature; Religion; Theology
99,Illness Tattoos: A Study of Embodied Traditions and Narratives,"Sims, Martha",Doctor of Philosophy,2020,Shuman PhD,Amy  Shuman PhD ; Evonne Halasek PhD ; Dorothy Noyes PhD ; Merrill Kaplan PhD ,Folklore
100,"Reading Con(tra)ceptions: Women, Abortion, and Reproductive Health in Victorian Literature and Culture, 1840-1880","Cody, Emily",Doctor of Philosophy,2021,Clare Simmons,Clare Simmons ; Amanpal Garcha ; Robyn Warhol ,British and Irish Literature; Gender Studies; History; Womens Studies
101,Disability Memoir: A Study in Pedagogy and Practice,"Male, Jessie",Doctor of Philosophy,2021,Amy Shuman,Amy Shuman ,American Literature; Composition; Literature; Pedagogy; Rhetoric
102,Marginal Affinities: The Rhetoric and Geopolitics of Character in the Anglophone Novel 1958-2016,"Srikanth, Siddharth",Doctor of Philosophy,2021,James Phelan,James Phelan ; Pranav Jani ; Thomas Davis ; Amanpal Garcha ,Literature
103,Televisual Aesthetics in Postmodern Novels 1969-2006,"Efron, Corey",Doctor of Philosophy,2021,Brian McHale PhD,Brian McHale PhD ; Jesse Schotter PhD ; Warhol Robyn PhD ,Literature
104,"Git Gud: Video Games, Mental Disability, and Resilience Rhetoric 
","Sheehan, Ryan",Doctor of Philosophy,2021,,Wendy Hesford ; Margaret Price ; Ben McCorkle ,Composition; Literacy; Rhetoric
105,The Erotics of Excrement in Early Modern English Drama,"Frazier, Heather",Doctor of Philosophy,2021,Jennifer Higginbotham,Jennifer Higginbotham ; Sarah Neville ; Luke Wilson ; Elizabeth Kolkovich ,British and Irish Literature; Gender Studies; Literature
106,Origin Stories: Transnational Cinemas and Slow Aesthetics at the Dawn of the Anthropocene,"Chavez, Mercedes",Doctor of Philosophy,2021,Jian Chen N,Jian Chen N ; Margaret Flinn C ; Thomas Davis S ,Comparative; Ethnic Studies; Film Studies; Latin American Studies; Mass Media
107,"Beyond the Flood: Environmental Memory, Precarity, and Creativity in Imagining Appalachia's Livable Futures","Lovejoy, Jordan",Doctor of Philosophy,2021,Katherine Borland,Katherine Borland ; Dorothy Noyes ; Thomas Davis ,Environmental Justice; Folklore; Literature
108,Fantastic Femmes: Latinxs in Speculative Storytelling,"Orozco, Danielle",Doctor of Philosophy,2021,,Paloma Martinez-Cruz ; Jian Chen ; Martin Ponce ; Frederick Aldama ,Film Studies; Folklore; Gender Studies; Latin American Studies; Literature; Mass Media; Minority and Ethnic Groups; Performing Arts; Womens Studies
109,"""Building Relationships: Community, Rebuilding, and Architectural Succession After the 2016 Gatlinburg Fire""","Varajon, Sydney",Doctor of Philosophy,2021,Amy Shuman,Amy Shuman ; Gabriella Modan ; Dorothy Noyes ,Architecture; Folklore
